Candidate Name,Party,Constituency,Vocal Pitch (Hz),Source,Time Stamp,URL,,,,,
Jennifer Murnane O'Connor,Fianna Fail,Carlow-Kilkenny,171.04,Facebook video (party account),0:00-0:30 s,https://www.facebook.com/watch/?v=1036633425270054,,,,,
Áine Gladney Knox,Sinn Fein,Carlow-Kilkenny,171.95,Youtube video (interview),0:39-1:02 s,https://www.youtube.com/watch?v=xwI_9My-Hn4,,,,,
Natasha Newsome Drennan,Sinn Fein,Carlow-Kilkenny,176.66,Youtube video (dail speech),0:00-0:32 s,https://www.youtube.com/watch?v=iD_1pR34yJM,,,,,
Catherine Callaghan,Fine Gael,Carlow-Kilkenny,191.87,Youtube video (dail speech),0:00-0:30 s,https://www.youtube.com/watch?v=8w1AXO2ZqeQ,,,,,
Patricia Stephenson,Social Democrats,Carlow-Kilkenny,243.18,Youtube video (senead speech),0:00-0:34 s,https://www.youtube.com/watch?v=bwJUbCl1AGo,,,,,
Adrienne Wallace,PBP-Solidarity ,Carlow-Kilkenny,244.15,News interview,0:09-0:41 s ,https://www.carlowlive.ie/video/election-2020/515889/watch-solidarity-pbp-s-adrienne-wallace-says-the-government-pissed-too-many-people-off.html,,,,,
Orla Donohoe,IFP,Carlow-Kilkenny,219.96,Facebook video (party account),0:00-0:32 s,https://www.facebook.com/watch/?v=1071527520871284,,,,,
Niamh Smyth,Fianna Fail,Cavan-Monaghan,212.01,Youtube video (dail speech),0:00-0:32s,https://www.youtube.com/watch?v=aY810aegUjk,,,,,
Cathy Bennett,Sinn Fein,Cavan-Monaghan,205.26,Facebook video (party account),0:00-0:33s,https://www.facebook.com/CouncillorCathyBennett/videos/1246406120031031/,,,,,
Pauline Tully,Sinn Fein,Cavan-Monaghan,157.12,Facebook video (party account),0:00-0:33s,https://www.facebook.com/watch/?v=1327354764943475,,,,,
Carmel Brady,Fine Gael,Cavan-Monaghan,212.5,Facebook video (personal account),0:00-0:34 s,https://www.facebook.com/Carmelbradyno1/videos/573888501692610/,,,,,
Emma Hendrick,PBP-Solidarity ,Cavan-Monaghan,180.04,Facebook video (party account),0:00-0:32 s,https://www.facebook.com/watch/?v=1434138856677637,,,,,
Sarah O'Reilly,Aontú,Cavan-Monaghan,236.74,Facebook video (party account),0:00-0:31 s,https://www.facebook.com/AontuIE/videos/1477722956189601/,,,,,
Rita McInerney,Fianna Fail,Clare,229.62,Facebook video (party account),0:00-0:29 s,https://www.facebook.com/fiannafail/videos/312288208603157/,,,,,
Donna McGettigan,Sinn Fein,Clare,183.74,Youtube video (dail speech),0:06-0:36 s,https://www.youtube.com/watch?v=3PE_Zkt19FI,,,,,
Leonora Carey,Fine Gael,Clare,209.23,Facebook video (personal account),0:02-0:32 s ,https://www.facebook.com/reel/1125697572264537,,,,,
Róisín Garvey,Green,Clare,194.96,Facebook video (party account),0:00-0:31 s,https://www.facebook.com/watch/?v=1451815699102929,,,,,
Hilary Tonge,Social Democrats,Clare,204.09,Facebook video (party account),0:00-0:34 s,https://www.facebook.com/watch/?v=866173228982724,,,,,
Caitríona Ní Chatháin ,PBP-Solidarity ,Clare,180.62,News interview,0:00-0:31 s,https://www.limerickleader.ie/video/mayoral-election/1509276/watch-mayoral-candidate-caitriona-ni-chathain-s-vision-for-limerick-in-90-seconds.html,,,,,
June Dillon,Aontú,Clare,246.64,Facebook video (news account),0:09-0:49 s,https://www.facebook.com/watch/?v=621475666946329,,,,,
Amanda Major,Independent,Clare,202.21,Facebook video (news account),1:00-1:31 s,https://www.facebook.com/watch/?v=1493681421324906,,,,,* WOC and ESL
