Incumbency,Candidate in GE24,Elected in GE24,Title,First Name,Surname,Gender,Consituency,Party Full
Y,Y,Y,Deputy,Jennifer ,Murnane O'Connor,F,Carlow-Kilkenny,Fianna Fail
N,Y,Y,,Catherine ,Callaghan,F,Carlow-Kilkenny,Fine Gael
N,Y,N,,Aine ,Gladney Knox,F,Carlow-Kilkenny,Sinn Fein
N,Y,Y,,Natasha ,Newsome Drennan,F,Carlow-Kilkenny,Sinn Fein
N,Y,N,,Orla,Donohoe,F,Carlow-Kilkenny,Irish Freedom Party
N,Y,N,,Patricia ,Stephenson,F,Carlow-Kilkenny,Social Democrats
N,Y,N,Cllr,Adrienne,Wallace,F,Carlow-Kilkenny,Solidarity - People Before Profit
Y,Y,Y,Deputy,Niamh ,Smyth,F,Cavan-Monaghan,Fianna Fail
Y,Y,N,Deputy,Pauline ,Tully,F,Cavan-Monaghan,Sinn Fein
N,Y,N,Cllr,Sarah ,O'Reilly,F,Cavan-Monaghan,Aontu
N,Y,N,Cllr,Carmel,Brady,F,Cavan-Monaghan,Fine Gael
N,Y,N,,Emma ,Hendrick,F,Cavan-Monaghan,Solidarity - People Before Profit
N,Y,Y,Cllr,Cathy,Bennett,F,Cavan-Monaghan,Sinn Fein
Y,Y,N,Deputy,Violet Anne,Wynne,F,Clare,Independent
N,Y,Y,Cllr,Donna ,McGettigan,F,Clare,Sinn Fein
N,Y,N,Senator,Roisin ,Garvey,F,Clare,Green Party
N,Y,N,,Hilary ,Tonge,F,Clare,Social Democrats
N,Y,N,,Leonora,Carey,F,Clare,Fine Gael
N,Y,N,Cllr,Rita,McInerney,F,Clare,Fianna Fail
N,Y,N,,June,Dillon,F,Clare,Aontu
N,Y,N,,Caitriona,NI Chathain,F,Clare,Solidarity - People Before Profit
N,Y,N,,Amanda,Major,F,Clare,Independent
N,Y,N,,Mona ,Stromsoe,F,Cork East,Aontu
N,Y,N,Cllr,Deirdre,O'Brien,F,Cork East,Fianna Fail
N,Y,N,,Cliona,O'Halloran,F,Cork East,Green Party
N,Y,N,,Kathryn,Bermingham,F,Cork East,Independent Ireland
N,Y,N,Cllr,Mary ,Linehan Foley,F,Cork East,Independent
N,Y,N,,Asch,Ni Fhinn,F,Cork East,Solidarity - People Before Profit
N,Y,N,,Catherine ,Lynch,F,Cork East,Independent Ireland
N,Y,N,,Susan,Doyle,F,Cork North-Central,Social Democrats
N,Y,N,,Rachel ,Hurley Roche,F,Cork North-Central,Independent
N,Y,N,,Imelda,Daly,F,Cork North-Central,Fine Gael
N,Y,N,,Sandra,Murphy Kelleher,F,Cork North-Central,Fianna Fail
