Incumbency,Candidate in GE24,Elected in GE24,Title,First Name,Surname,Gender,Consituency,Party Full,mean_pitch_hz,min_pitch_hz,max_pitch_hz,,,
Y,Y,Y,Deputy,Jennifer ,Murnane O'Connor,F,Carlow-Kilkenny,Fianna Fail,171.04,74.95,453.86,,,
N,Y,Y,,Catherine ,Callaghan,F,Carlow-Kilkenny,Fine Gael,191.87,76.02,477.64,,,
N,Y,N,,Aine ,Gladney Knox,F,Carlow-Kilkenny,Sinn Fein,171.95,99.52,400.32,,,
N,Y,Y,,Natasha ,Newsome Drennan,F,Carlow-Kilkenny,Sinn Fein,176.66,82.95,264.14,,,
N,Y,N,,Orla,Donohoe,F,Carlow-Kilkenny,Irish Freedom Party,219.96,122.7,497.43,,,
N,Y,N,,Patricia ,Stephenson,F,Carlow-Kilkenny,Social Democrats,243.18,87.69,474.67,,,
N,Y,N,Cllr,Adrienne,Wallace,F,Carlow-Kilkenny,Solidarity - People Before Profit,244.15,81.05,477.67,,,
Y,Y,Y,Deputy,Niamh ,Smyth,F,Cavan-Monaghan,Fianna Fail,212.01,77.6,497.67,,,
Y,Y,N,Deputy,Pauline ,Tully,F,Cavan-Monaghan,Sinn Fein,157.12,75.05,491.29,,,
N,Y,N,Cllr,Sarah ,O'Reilly,F,Cavan-Monaghan,Aontu,236.74,77.49,359.13,,,
N,Y,N,Cllr,Carmel,Brady,F,Cavan-Monaghan,Fine Gael,212.5,76.95,490.11,,,
N,Y,N,,Emma ,Hendrick,F,Cavan-Monaghan,Solidarity - People Before Profit,180.04,82.21,402.4,,,
N,Y,Y,Cllr,Cathy,Bennett,F,Cavan-Monaghan,Sinn Fein,205.26,76.11,442.48,,,
Y,Y,N,Deputy,Violet Anne,Wynne,F,Clare,Independent,200.76,76.82,489.11,,,
N,Y,Y,Cllr,Donna ,McGettigan,F,Clare,Sinn Fein,183.74,77.88,495.64,,,
N,Y,N,Senator,Roisin ,Garvey,F,Clare,Green Party,194.96,77.74,490.6,,,
N,Y,N,,Hilary ,Tonge,F,Clare,Social Democrats,204.09,75.86,414.37,,,
N,Y,N,,Leonora,Carey,F,Clare,Fine Gael,209.23,76.52,496.49,,,
N,Y,N,Cllr,Rita,McInerney,F,Clare,Fianna Fail,229.62,140.66,407.31,,,
N,Y,N,,June,Dillon,F,Clare,Aontu,246.64,85.94,496.66,,,
N,Y,N,,Caitriona,NI Chathain,F,Clare,Solidarity - People Before Profit,180.62,76.45,430.47,,,
N,Y,N,,Amanda,Major,F,Clare,Independent,202.21,76.83,497.95,,,
N,Y,N,,Mona ,Stromsoe,F,Cork East,Aontu,205.43,75.59,471.31,,,
