Speaker,Constituency,mean_pitch_hz,min_pitch_hz,max_pitch_hz
Adrienne Wallace,Carlow-Kilkenny,244.15,81.05,477.67
Orla Donohoe,Carlow-Kilkenny,219.96,122.7,497.43
Jennifer Murnane O' Connor,Carlow-Kilkenny,171.04,74.95,453.86
Catherine Callaghan,Carlow-Kilkenny,191.87,76.02,477.64
Aine Gladney Knox,Carlow-Kilkenny,171.95,99.52,400.32
Patricia Stephenson,Carlow-Kilkenny,243.18,87.69,474.67
Natasha Newsome Drennan,Carlow-Kilkenny,176.66,82.95,264.14
Carmel Brady,Cavan-Monaghan,212.5,76.95,490.11
Niamh Smyth,Cavan-Monaghan,212.01,77.6,497.67
Emma Hendrick,Cavan-Monaghan,180.04,82.21,402.4
Sarah O' Reilly,Cavan-Monaghan,236.74,77.49,359.13
Pauline Tully,Cavan-Monaghan,157.12,75.05,491.29
Cathy Bennett,Cavan-Monaghan,205.26,76.11,442.48
Leonora Carey,Clare,209.23,76.52,496.49
Violet- Anne Wynne,Clare,200.76,76.82,489.11
June Dillon,Clare,246.64,85.94,496.66
Caitriona Ni Chathain,Clare,180.62,76.45,430.47
Hilary Tonge,Clare,204.09,75.86,414.37
Rita Mcinerney,Clare,229.62,140.66,407.31
Roisin Garvey,Clare,194.96,77.74,490.6
Donna Mcgettigan,Clare,183.74,77.88,495.64
Amanda Major,Clare,202.21,76.83,497.95
Mary Linehan Foley,Cork_East,153.83,75.02,493.2
Deirdre O' Brien,Cork_East,174.74,75.74,494.57
Mona Stromsoe,Cork_East,205.43,75.59,471.31
Cliona O Halloran,Cork_East,191.88,80.3,476
Rachel Hurley Roche,Cork_North-Central,209.62,75.06,312.94
Imelda Daly,Cork_North-Central,194.03,79.83,374.78
Susan Doyle,Cork_North-Central,189.08,75.17,494.47
Sarah Murphy Kelleher,Cork_North-Central,174.21,74.99,491.17
Colette Finn,Cork_North-West,165.1,77.6,474.95
Nicole Ryan,Cork_North-West,163.65,77.07,295.29
Becky Kealy,Cork_North-West,255.38,92.6,491.64
Monica Oikeh,Cork_South-Central,184.48,75.18,428.68
Laura Harmon,Cork_South-Central,137.93,75.08,436.48
Margaret Kenneally,Cork_South-Central,190.65,75.79,467.94
Anna Daly,Cork_South-Central,236.24,78.67,448.59
Una Mccarthy,Cork_South-Central,200.46,92.14,497.94
Michelle Cowhey Shahid,Cork_South-Central,190.59,75.85,486.74
Lorna Bogue,Cork_South-Central,196.39,76.5,359.51
